authorId:ID(Authors),name,:LABEL
1,Frank Manola,Autor
2,Mark F. Hornick,Autor
3,Joe D. Morrison,Autor
4,Farshad Nayeri,Autor
5,Benjamin Hurwitz,Autor
6,Alejandro P. Buchmann,Autor
7,Sandra Heiler,Autor
8,M. Tamer zsu,Autor
9,Dimitrios Georgakopoulos,Autor
10,Jacques Wainer,Autor
11,Michael Eckmann,Autor
12,Siome Goldenstein,Autor
13,Anderson Rocha,Autor
14,Thomas Ludwig 0001,Autor
15,Noam Paz,Autor
16,Kai Lebeth,Autor
17,Bernd Abb,Autor
18,Stefan Bttcher,Autor
19,Christoph Beierle,Autor
20,Elisabeth Neugebauer,Autor
21,Ulrike Rackow,Autor
22,Ido Dagan,Autor
23,Ulrike Schwall,Autor
24,Michael Ley,Autor
25,Bernd Walter,Autor
26,Birgit Wesche,Autor
27,Andreas Eisele,Autor
28,Jochen Drre,Autor
29,Stefan J. Schierholz,Autor
30,Eric Windisch,Autor
31,Egon Brger,Autor
32,Sven Lorenz,Autor
33,Raymond F. Boyce,Autor
34,Donald D. Chamberlin,Autor
35,Karin Klabunde,Autor
36,Tibor Kiss,Autor
37,Otthein Herzog,Autor
38,Jutta Krei,Autor
39,Toni Bollinger,Autor
40,Ulrich Hedtstck,Autor
41,Claus-Rainer Rollinger,Autor
42,Adrian Mller,Autor
43,Peter H. Schmitt,Autor
44,Petra Steffens,Autor
45,Rudi Studer,Autor
46,Brigitte Bartsch-Sprl,Autor
47,F. Gnthner,Autor
48,Christopher Habel,Autor
49,Siegfried Kanngieer,Autor
50,Christian Rohrer,Autor
51,Anja Theuner,Autor
52,Josef Gemander,Autor
53,Udo Pletat,Autor
54,Roland Seiffert,Autor
55,Esther Knig,Autor
56,Mechthild Rickheit,Autor
57,Thomas Pirlein,Autor
58,Kai von Luck,Autor
59,Sitaram Lanka,Autor
60,Eric Mays,Autor
61,Michael Klein,Autor
62,Gregor Erbach,Autor
63,Jim Gray,Autor
64,Vera Watson,Autor
65,Kurt Eberle,Autor
66,Sonja Mller,Autor
67,Elisabeth Breidt,Autor
68,Bernhard Beckert,Autor
69,Werner Emde,Autor
70,Manfred Schmidt-Schau,Autor
71,Gert Smolka,Autor
72,Anne Schiller,Autor
73,Gregor Meyer,Autor
74,Heiner Semle,Autor
75,Claudia Maienborn,Autor
76,Bernd I. Dahn,Autor
77,Theodor Lettmann,Autor
78,Wolfgang Schnfeld,Autor
79,Martin Hbner,Autor
80,Ulrike Weiland,Autor
81,Rdiger Wirth,Autor
82,Rainer Buerle,Autor
83,Hans Uszkoreit,Autor
84,Ipke Wachsmuth,Autor
85,Oliver Wauschkuhn,Autor
86,Bernhard Nebel,Autor
87,Andreas Arning,Autor
88,Mohammed Nadjib Khenkhar,Autor
89,Irving L. Traiger,Autor
90,Cesare A. Galtieri,Autor
91,Bruce G. Lindsay 0001,Autor
92,Ingo Raasch,Autor
93,E. F. Codd,Autor
94,Robert S. Arnold,Autor
95,Jean-Marc Cadiou,Autor
96,Chin-Liang Chang,Autor
97,Nick Roussopoulos,Autor
98,Ewald Lang,Autor
99,Kai-Uwe Carstensen,Autor
100,Gudrun Klose,Autor
101,Gisela Schpke,Autor
102,Erich Gehlen,Autor
103,Herbert J. Leass,Autor
104,Peter Gerstl,Autor
105,Jan Wilms,Autor
106,Bart Geurts,Autor
107,Gerd Kortm,Autor
108,Lutz Voelkel,Autor
109,Birgit Wendholt,Autor
110,Reiner Hhnle,Autor
111,Rolf Mayer,Autor
112,Ingrid Renz,Autor
113,Kurt Rothermel,Autor
114,Wolfgang Wernecke,Autor
115,Hans-Joachim Goltz,Autor
116,Walter G. Olthoff,Autor
117,Angi Vo,Autor
118,Carola Eschenbach,Autor
119,Geoffrey Simmons,Autor
120,Stefan Brner,Autor
121,Jrg H. Siekmann,Autor
122,Simone Pribbenow,Autor
123,Michael Tarnowski,Autor
124,H. Raymond Strong,Autor
125,George Markowsky,Autor
126,Joachim Maier,Autor
127,Michel E. Adiba,Autor
128,Gnther Grz,Autor
129,Holger M. Wittmann,Autor
130,Sai Choi Kwan,Autor
131,Peter Bosch,Autor
132,Brigitte Blser,Autor
133,M. Wermke,Autor
134,William C. Rounds,Autor
135,Karl-Hans Blsius,Autor
136,Stefan Gerberding,Autor
137,Werner Kernig,Autor
138,Helmar Gust,Autor
139,Manfred Grothaus,Autor
140,Karin Neuhold,Autor
141,Karl Schlechta,Autor
142,Albert Maier,Autor
143,Ralph Scheubrein,Autor
144,Rolf Sander,Autor
145,Stefan Benzschawel,Autor
146,Petra Maier,Autor
147,Jrgen Manowsky,Autor
148,Claudia Mrotzek,Autor
149,Markus Hhfeld,Autor
150,Petra Ludewig,Autor
151,Klaus Rehkmper,Autor
152,Dines Bjrner,Autor
153,Kenneth L. Deckert,Autor
154,Christos Garidis,Autor
155,Nikolaus Ott,Autor
156,Michael Czymmeck,Autor
157,Wilfried Htker,Autor
158,Jennifer Brundage,Autor
159,Maren Kresse,Autor
160,Angelika Storrer,Autor
161,Hinrich Schtze,Autor
162,Jean-Yves Lerner,Autor
163,Ulrich Schatz,Autor
164,Karel Oliva,Autor
165,Stefan Bayerl,Autor
166,Kjell Johan Sb,Autor
167,Raymond A. Lorie,Autor
168,Bradford W. Wade,Autor
169,Gosse Bouma,Autor
170,Christoph Lingenfelder,Autor
171,Astrid Schmcker-Schend,Autor
172,Jrgen Pietsch,Autor
173,R. Zieschank,Autor
174,D. Marx,Autor
175,P. Klug-Lier,Autor
176,Bernd Page,Autor
177,D. Eberle,Autor
178,Uwe Reyle,Autor
179,Rob A. van der Sandt,Autor
180,Michael Herweg,Autor
181,Jrg Heinrich,Autor
182,Petra Schulz,Autor
183,Elke Busch,Autor
184,Burkhard Kehrbusch,Autor
185,Volker Jantzen,Autor
186,Arne Pott,Autor
187,Robert Dionne,Autor
188,Robert A. Weida,Autor
189,Karl Dotzek,Autor
190,Sebastian Millies,Autor
191,Carsten Damm,Autor
192,Stasys Jukna,Autor
193,Jir Sgall,Autor
194,Lothar Breuer,Autor
195,Jochen Bern,Autor
196,Christoph Meinel,Autor
197,Anna Slobodov,Autor
198,Dieter Baum,Autor
199,Peter Gritzmann,Autor
200,Victor Klee,Autor
201,Ulrich Hertrampf,Autor
202,Harald Sack,Autor
203,Volker Schillings,Autor
204,R. J. Gardner,Autor
205,Abdelouahed Hamdi,Autor
206,Klaus Jansen,Autor
207,Christoph W. Keler,Autor
208,E. Levitin,Autor
209,Rainer Tichatschke,Autor
210,Alexander Kaplan,Autor
211,Friedemann Leibfritz,Autor
212,Dieter Prangenberg,Autor
213,Helmut Seidl,Autor
214,Oleg Khamisov,Autor
215,Dirk Frosch,Autor
216,E. Arian,Autor
217,A. Battermann,Autor
218,Ekkehard W. Sachs,Autor
219,Belinda B. King,Autor
220,Christian Stangier,Autor
221,Jrgen Huschens,Autor
222,Reiner Horst,Autor
223,Nguyen V. Thoai,Autor
224,Clemens Lautemann,Autor
225,Thomas Schwentick,Autor
226,Heribert Vollmer,Autor
