pubId:ID(Pubs),Title,Year,Tipo,:LABEL
1,MetaObject Protocol Concepts for a RISC Object Model.,1993,article,Pub
2,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,1994,article,Pub
3,Distributed Object Management Technology.,1988,article,Pub
4,"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.",1991,article,Pub
5,Integrating Object-Oriented Applications and Middleware with Relational Databases.,1995,article,Pub
6,Object Model Capabilities For Distributed Object Management.,1989,article,Pub
7,Object Data Language Facilities for Multimedia Data Types.,1991,article,Pub
8,Experiments with Dispatching in a Distributed Object System.,1993,article,Pub
9,Object Data Model Facilities for Multimedia Data Types.,1990,article,Pub
10,A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.,1993,article,Pub
11,Towards a Transaction Management System for DOM.,1991,article,Pub
12,Differences in productivity and impact across the different computer science subareas.,2012,article,Pub
13,Modeling Structured Open Worlds in a Database System: The FLL-Approach,1991,article,Pub
14,ber Vergleichskonstruktionen,1989,article,Pub
15,Syntaktische Analysevorschlge zur Behandlung von lokalen Prfixverben in einem System fr die Generierung von Wegbeschreibungen,1992,article,Pub
16,Database Support for the PROTOS-L System,1989,article,Pub
17,"Richtungsangabe oder Wegkonnektor? Rmliches ""Zurck"" und seine Semantik",1992,article,Pub
18,A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds,1992,article,Pub
19,Der LILOG-DB Fact Manager: Ein Datenbankkern zur Speicherung variabel strukturierter komplexer Objekte,1989,article,Pub
20,"At Ease with ""AT""",1987,article,Pub
21,Disjunctive Unification,1990,article,Pub
22,Quantitative Analysen zu Wrterbchern,1991,article,Pub
23,Complexity of Logical Decision Problems: An Introduction,1990,article,Pub
24,Dokumentation der Syntax der LILOG-Grammatik,1988,article,Pub
25,Persistence and Justified Causation: Some Remarks on Nonmonotonic Temporal Reasoning,1991,article,Pub
26,Using a Structured English Query Language as a Data Definition Facility.,1973,article,Pub
27,Erweiterung der Wissensreprsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation,1989,article,Pub
28,"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.",1991,article,Pub
29,The Institute for Knowledge Based Systems in the IBM Germany Scientific Center,1990,article,Pub
30,The Design and Implementation of TLPROLOG (V. 2.0) - Intermediate Report,1989,article,Pub
31,"ber die W's der Textgenerierung: Was, wofr, wo und wie: Wissensbasierte Generierung von informierenden Texten in einem Auskunftssystem",1991,article,Pub
32,Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype,1989,article,Pub
33,FLL: A First-Order Language for Deductive Retrieval of Feature Terms,1988,article,Pub
34,ICL - An Integrity Control Language: Konzeption und Implementierung einer formalen Sprache zur Integrittskontrolle von Wissensbasen,1991,article,Pub
35,Mathematical Logic and Artificial Intelligence,1987,article,Pub
36,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,article,Pub
37,An Inference Engine for Function Free Logic Programs,1990,article,Pub
38,"""Dictionary Dialog"" - Entwurf des Funktionsumfangs fr eine Benutzerschnittstelle eines integrierten maschinellen/maschinenuntersttzten bersetzungssystems und prototypische Erstellung der Bildschirmfolge fr die Funktion ""Semantische Relation""",1992,article,Pub
39,Verarbeitung von Vagheits- und Unsicherheitsbewertungen: Tools fr das Testen von Anstzen fr die Unifikation und die Logikbehandlung von mit Unsicherheit und Vagheit bewerteten Graphen im L-LILOG-STUF-Graphenkonzept,1988,article,Pub
40,Semantics of Logic Programs with Equational Abstract Data Type Specifications,1988,article,Pub
41,Prolog and Natural Language Processing,1992,article,Pub
42,Wortbedeutungen und lexikalische Reprsentationen,1990,article,Pub
43,Rekonstruktion von Hintergrundwissen fr ein wissensbasiertes textverstehendes System,1990,article,Pub
44,Knowledge Representation in LILOG,1989,article,Pub
45,Attribute Inheritance Implemented on Top of a Relational Database System,1989,article,Pub
46,Fully Persistent B,1990,article,Pub
47,Leistungsanalyse des Datenbanksystems LILOG-DB,1991,article,Pub
48,Computational aspects of three-valued logic,1987,article,Pub
49,The LILOG Knowledge Representation System,1991,article,Pub
50,International Workshop on Terminological Logics - Proceedings,1991,article,Pub
51,Syntactic Processing of Unknown Words,1990,article,Pub
52,A Shared Segment and Interprocess Communication Facility for VM/370,1975,article,Pub
53,A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations,1990,article,Pub
54,Eine Prolog-Theorie fr zeitliche Beziehungen zwischen Ereignissen,1987,article,Pub
55,Zur Systematik morphologischer Paradigmen: Die deutschen Verben in der Computermorphologie,1992,article,Pub
56,Die Behandlung von mehrdeutigen Verben in der Maschinellen bersetzung,1991,article,Pub
57,Konzeption und Implementierung von Gleichheit fr einen tableau-basierten Theorem-Beweiser,1992,article,Pub
58,Wissensreprsentation und Maschinelles Lernen,1987,article,Pub
59,Attributive Concept Descriptions with Unions and Complements,1989,article,Pub
60,Derivationsmorphologie in einem bersetzungssystem,1992,article,Pub
61,Extending the Warren Abstract Machine to Polymorphic Order-Sorted Resolution,1991,article,Pub
62,Processing Spatial Knowledge in LILOG,1991,article,Pub
63,ILFA Interface Concept,1991,article,Pub
64,Die Konzeption des EXCEPT-Systems: Ein berblick,1990,article,Pub
65,Simulation Sprachlichen Verstehens: Generelle Probleme bei der semantischen Interpretation der natrlichen Sprache,1986,article,Pub
66,Lernverfahren zur Vervollstndigung von Hornklauselmengen durch inverse Resolution,1989,article,Pub
67,Ereignisse und Reprsentationen,1988,article,Pub
68,Textunderstanding in LILOG - Sorts and Reference Objects,1987,article,Pub
69,Umweltbewertung mit EXCEPT: Darstellung aus kologischer Sicht,1991,article,Pub
70,Untersuchung zur verteilten Produktionsplanung mit Methoden der logischen Programmierung,1992,article,Pub
71,On Structuring Domain-Specific Knowledge,1987,article,Pub
72,Terminological Reasoning is Inherently Intractable,1989,article,Pub
73,A Polynomial Method for Finding Irregularities in Large Example Sets,1991,article,Pub
74,Vorberlegungen zur depiktionalen Reprsentation rumlichen Wissens,1988,article,Pub
75,Transactions and Consistency in Distributed Database Systems.,1979,article,Pub
76,The Stuttgart Type Unification Formalism - User Manual,1991,article,Pub
77,RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.,1978,article,Pub
78,Improving the Concurrency of Integrity Checks and Write Operations,1990,article,Pub
79,OSKAR - A PROLOG Programm for Modelling Dimensional Designation and Positional Variation of Objects in Space,1990,article,Pub
80,"Die Ontologie und Axiomatik der Wissensbasis von LEU/2 - Erfahrungen, Probleme, Ausblicke",1991,article,Pub
81,Symmetric Coordination: An Alternative Theory of Phrase Structure,1992,article,Pub
82,Mglichkeiten des Einsatzes eines dreiwertigen Theorembeweisers,1991,article,Pub
83,EFTA Query Processing in LILOG-DB,1989,article,Pub
84,An Anaphora Resolution Procedure for Machine Translation,1991,article,Pub
85,Prozedurale Semantik. Reprsentation der Sprechergegenwart.,1991,article,Pub
86,Mengenkonzepte in Unifikationsgrammatiken,1992,article,Pub
87,How to Fit the Lambek Calculus into the Chomsky Hierarchy,1989,article,Pub
