:START_ID(Authors),Title,Year,:END_ID(Authors),:TYPE
2,"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.",1991,3,Collaborate
2,"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.",1991,4,Collaborate
3,"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.",1991,4,Collaborate
4,Experiments with Dispatching in a Distributed Object System.,1993,5,Collaborate
1,Object Data Model Facilities for Multimedia Data Types.,1990,2,Collaborate
1,Object Data Model Facilities for Multimedia Data Types.,1990,6,Collaborate
2,Object Data Model Facilities for Multimedia Data Types.,1990,6,Collaborate
1,A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.,1993,7,Collaborate
6,Towards a Transaction Management System for DOM.,1991,8,Collaborate
6,Towards a Transaction Management System for DOM.,1991,9,Collaborate
8,Towards a Transaction Management System for DOM.,1991,9,Collaborate
10,Differences in productivity and impact across the different computer science subareas.,2012,11,Collaborate
10,Differences in productivity and impact across the different computer science subareas.,2012,12,Collaborate
10,Differences in productivity and impact across the different computer science subareas.,2012,13,Collaborate
11,Differences in productivity and impact across the different computer science subareas.,2012,12,Collaborate
11,Differences in productivity and impact across the different computer science subareas.,2012,13,Collaborate
12,Differences in productivity and impact across the different computer science subareas.,2012,13,Collaborate
16,Syntaktische Analysevorschlge zur Behandlung von lokalen Prfixverben in einem System fr die Generierung von Wegbeschreibungen,1992,17,Collaborate
18,Database Support for the PROTOS-L System,1989,19,Collaborate
21,A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds,1992,22,Collaborate
21,A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds,1992,23,Collaborate
22,A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds,1992,23,Collaborate
24,Der LILOG-DB Fact Manager: Ein Datenbankkern zur Speicherung variabel strukturierter komplexer Objekte,1989,25,Collaborate
27,Disjunctive Unification,1990,28,Collaborate
29,Quantitative Analysen zu Wrterbchern,1991,30,Collaborate
33,Using a Structured English Query Language as a Data Definition Facility.,1973,34,Collaborate
39,Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype,1989,40,Collaborate
39,Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype,1989,41,Collaborate
40,Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype,1989,41,Collaborate
37,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,41,Collaborate
37,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,43,Collaborate
37,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,44,Collaborate
37,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,45,Collaborate
37,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,26,Collaborate
37,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,46,Collaborate
37,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,47,Collaborate
37,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,48,Collaborate
37,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,49,Collaborate
37,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,50,Collaborate
41,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,43,Collaborate
41,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,44,Collaborate
41,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,45,Collaborate
41,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,26,Collaborate
41,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,46,Collaborate
41,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,47,Collaborate
41,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,48,Collaborate
41,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,49,Collaborate
41,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,50,Collaborate
43,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,44,Collaborate
43,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,45,Collaborate
43,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,26,Collaborate
43,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,46,Collaborate
43,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,47,Collaborate
43,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,48,Collaborate
43,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,49,Collaborate
43,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,50,Collaborate
44,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,45,Collaborate
44,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,26,Collaborate
44,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,46,Collaborate
44,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,47,Collaborate
44,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,48,Collaborate
44,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,49,Collaborate
44,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,50,Collaborate
45,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,26,Collaborate
45,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,46,Collaborate
45,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,47,Collaborate
45,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,48,Collaborate
45,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,49,Collaborate
45,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,50,Collaborate
26,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,46,Collaborate
26,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,47,Collaborate
26,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,48,Collaborate
26,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,49,Collaborate
26,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,50,Collaborate
46,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,47,Collaborate
46,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,48,Collaborate
46,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,49,Collaborate
46,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,50,Collaborate
47,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,48,Collaborate
47,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,49,Collaborate
47,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,50,Collaborate
48,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,49,Collaborate
48,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,50,Collaborate
49,LILOG - Linguistische und logische Methoden fr das maschinelle Verstehen des Deutschen - Projektbeschreibung,1986,50,Collaborate
19,Semantics of Logic Programs with Equational Abstract Data Type Specifications,1988,53,Collaborate
54,Prolog and Natural Language Processing,1992,55,Collaborate
53,Knowledge Representation in LILOG,1989,58,Collaborate
59,Fully Persistent B,1990,60,Collaborate
39,The LILOG Knowledge Representation System,1991,53,Collaborate
63,A Shared Segment and Interprocess Communication Facility for VM/370,1975,64,Collaborate
69,Wissensreprsentation und Maschinelles Lernen,1987,41,Collaborate
70,Attributive Concept Descriptions with Unions and Complements,1989,71,Collaborate
19,Extending the Warren Abstract Machine to Polymorphic Order-Sorted Resolution,1991,73,Collaborate
19,Extending the Warren Abstract Machine to Polymorphic Order-Sorted Resolution,1991,74,Collaborate
73,Extending the Warren Abstract Machine to Polymorphic Order-Sorted Resolution,1991,74,Collaborate
76,ILFA Interface Concept,1991,77,Collaborate
76,ILFA Interface Concept,1991,78,Collaborate
77,ILFA Interface Concept,1991,78,Collaborate
79,Die Konzeption des EXCEPT-Systems: Ein berblick,1990,58,Collaborate
79,Die Konzeption des EXCEPT-Systems: Ein berblick,1990,80,Collaborate
58,Die Konzeption des EXCEPT-Systems: Ein berblick,1990,80,Collaborate
41,Textunderstanding in LILOG - Sorts and Reference Objects,1987,45,Collaborate
41,Textunderstanding in LILOG - Sorts and Reference Objects,1987,83,Collaborate
41,Textunderstanding in LILOG - Sorts and Reference Objects,1987,84,Collaborate
45,Textunderstanding in LILOG - Sorts and Reference Objects,1987,83,Collaborate
45,Textunderstanding in LILOG - Sorts and Reference Objects,1987,84,Collaborate
83,Textunderstanding in LILOG - Sorts and Reference Objects,1987,84,Collaborate
89,Transactions and Consistency in Distributed Database Systems.,1979,63,Collaborate
89,Transactions and Consistency in Distributed Database Systems.,1979,90,Collaborate
89,Transactions and Consistency in Distributed Database Systems.,1979,91,Collaborate
63,Transactions and Consistency in Distributed Database Systems.,1979,90,Collaborate
63,Transactions and Consistency in Distributed Database Systems.,1979,91,Collaborate
90,Transactions and Consistency in Distributed Database Systems.,1979,91,Collaborate
28,The Stuttgart Type Unification Formalism - User Manual,1991,92,Collaborate
93,RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.,1978,94,Collaborate
93,RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.,1978,95,Collaborate
93,RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.,1978,96,Collaborate
93,RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.,1978,97,Collaborate
94,RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.,1978,95,Collaborate
94,RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.,1978,96,Collaborate
94,RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.,1978,97,Collaborate
95,RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.,1978,96,Collaborate
95,RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.,1978,97,Collaborate
96,RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.,1978,97,Collaborate
98,OSKAR - A PROLOG Programm for Modelling Dimensional Designation and Positional Variation of Objects in Space,1990,99,Collaborate
100,"Die Ontologie und Axiomatik der Wissensbasis von LEU/2 - Erfahrungen, Probleme, Ausblicke",1991,98,Collaborate
100,"Die Ontologie und Axiomatik der Wissensbasis von LEU/2 - Erfahrungen, Probleme, Ausblicke",1991,57,Collaborate
