:START_ID(Authors),:END_ID(Pubs),:TYPE
1,1,Autoria
1,2,Autoria
1,3,Autoria
2,4,Autoria
3,4,Autoria
4,4,Autoria
1,5,Autoria
1,6,Autoria
1,7,Autoria
4,8,Autoria
5,8,Autoria
1,9,Autoria
2,9,Autoria
6,9,Autoria
1,10,Autoria
7,10,Autoria
6,11,Autoria
8,11,Autoria
9,11,Autoria
10,12,Autoria
11,12,Autoria
12,12,Autoria
13,12,Autoria
14,13,Autoria
15,14,Autoria
16,15,Autoria
17,15,Autoria
18,16,Autoria
19,16,Autoria
20,17,Autoria
21,18,Autoria
22,18,Autoria
23,18,Autoria
24,19,Autoria
25,19,Autoria
26,20,Autoria
27,21,Autoria
28,21,Autoria
29,22,Autoria
30,22,Autoria
31,23,Autoria
26,24,Autoria
32,25,Autoria
33,26,Autoria
34,26,Autoria
35,27,Autoria
36,28,Autoria
37,29,Autoria
14,30,Autoria
38,31,Autoria
39,32,Autoria
40,32,Autoria
41,32,Autoria
14,33,Autoria
42,34,Autoria
43,35,Autoria
37,36,Autoria
41,36,Autoria
43,36,Autoria
44,36,Autoria
45,36,Autoria
26,36,Autoria
46,36,Autoria
47,36,Autoria
48,36,Autoria
49,36,Autoria
50,36,Autoria
18,37,Autoria
51,38,Autoria
52,39,Autoria
19,40,Autoria
53,40,Autoria
54,41,Autoria
55,41,Autoria
56,42,Autoria
57,43,Autoria
53,44,Autoria
58,44,Autoria
18,45,Autoria
59,46,Autoria
60,46,Autoria
61,47,Autoria
43,48,Autoria
39,49,Autoria
53,49,Autoria
62,51,Autoria
63,52,Autoria
64,52,Autoria
31,53,Autoria
65,54,Autoria
66,55,Autoria
67,56,Autoria
68,57,Autoria
69,58,Autoria
41,58,Autoria
70,59,Autoria
71,59,Autoria
72,60,Autoria
19,61,Autoria
73,61,Autoria
74,61,Autoria
75,62,Autoria
76,63,Autoria
77,63,Autoria
78,63,Autoria
79,64,Autoria
58,64,Autoria
80,64,Autoria
41,65,Autoria
81,66,Autoria
82,67,Autoria
41,68,Autoria
45,68,Autoria
83,68,Autoria
84,68,Autoria
85,70,Autoria
84,71,Autoria
86,72,Autoria
87,73,Autoria
88,74,Autoria
89,75,Autoria
63,75,Autoria
90,75,Autoria
91,75,Autoria
28,76,Autoria
92,76,Autoria
93,77,Autoria
94,77,Autoria
95,77,Autoria
96,77,Autoria
97,77,Autoria
18,78,Autoria
98,79,Autoria
99,79,Autoria
100,80,Autoria
98,80,Autoria
57,80,Autoria
26,81,Autoria
101,82,Autoria
102,83,Autoria
103,84,Autoria
23,84,Autoria
100,85,Autoria
104,86,Autoria
55,87,Autoria
25,88,Autoria
105,89,Autoria
106,90,Autoria
107,91,Autoria
14,92,Autoria
19,93,Autoria
31,93,Autoria
108,94,Autoria
19,95,Autoria
14,96,Autoria
109,97,Autoria
110,98,Autoria
19,99,Autoria
18,99,Autoria
73,99,Autoria
111,100,Autoria
26,102,Autoria
112,102,Autoria
18,103,Autoria
113,104,Autoria
114,105,Autoria
115,106,Autoria
19,107,Autoria
116,107,Autoria
117,107,Autoria
118,108,Autoria
71,109,Autoria
98,110,Autoria
99,110,Autoria
119,110,Autoria
112,111,Autoria
120,112,Autoria
45,113,Autoria
19,114,Autoria
53,114,Autoria
83,114,Autoria
